NAME,Total_Pop_2020,Total_Pop_Male_2020,Total_Pop_Female_2020,Median_Age_2020,Median_Age_Male_2020,Median_Age_Female_2020,state,Total_Pop_2019,Total_Pop_Male_2019,Total_Pop_Female_2019,Median_Age_2019,Median_Age_Male_2019,Median_Age_Female_2019,Total_Pop_2021
Pennsylvania,12794885,6269142,6525743,40.9,39.3,42.5,42,12791530,6265113,6526417,40.8,39.1,42.4,12964056
California,39346023,19562882,19783141,36.7,35.6,37.9,6,39283497,19526298,19757199,36.5,35.4,37.7,39237836
West Virginia,1807426,893743,913683,42.7,41.3,44.1,54,1817305,898578,918727,42.5,41.2,43.9,1782959
Utah,3151239,1586950,1564289,31.1,30.4,31.8,49,3096848,1558868,1537980,30.8,30.2,31.5,3337975
New York,19514849,9474184,10040665,39.0,37.5,40.5,36,19572319,9501001,10071318,38.8,37.3,40.3,19835913
District of Columbia,701974,333137,368837,34.1,34.0,34.2,11,692683,328644,364039,34.0,33.9,34.2,670050
Alaska,736990,384653,352337,34.6,34.1,35.2,2,737068,384915,352153,34.3,33.8,34.9,732673
Florida,21216924,10374594,10842330,42.2,40.6,43.8,12,20901636,10220813,10680823,42.0,40.5,43.6,21781128
South Carolina,5091517,2468682,2622835,39.7,38.0,41.1,45,5020806,2435472,2585334,39.4,37.8,40.9,5190705
North Dakota,760394,389284,371110,35.2,34.3,36.3,38,756717,387555,369162,35.1,34.2,36.3,774948
Maine,1340825,656628,684197,44.8,43.4,46.2,23,1335492,653942,681550,44.7,43.3,46.0,1372247
Georgia,10516579,5113936,5402643,36.9,35.5,38.2,13,10403847,5062096,5341751,36.7,35.4,38.0,10799566
Alabama,4893186,2365734,2527452,39.2,37.7,40.6,1,4876250,2359355,2516895,39.0,37.5,40.5,5039877
New Hampshire,1355244,671802,683442,43.0,41.7,44.3,33,1348124,667689,680435,42.9,41.6,44.2,1388992
Oregon,4176346,2070627,2105719,39.5,38.5,40.6,41,4129803,2047338,2082465,39.3,38.3,40.3,4246155
Wyoming,581348,296280,285068,38.0,37.3,38.7,56,581024,296202,284822,37.7,36.9,38.5,578803
Arizona,7174064,3564979,3609085,37.9,36.7,39.3,4,7050299,3504509,3545790,37.7,36.3,39.0,7276316
Louisiana,4664616,2276932,2387684,37.2,35.9,38.4,22,4664362,2278986,2385376,36.9,35.6,38.2,4624047
Indiana,6696893,3300350,3396543,37.8,36.5,39.1,18,6665703,3284846,3380857,37.7,36.4,39.0,6805985
Idaho,1754367,879763,874604,36.6,35.9,37.4,16,1717750,861025,856725,36.4,35.6,37.2,1900923
Connecticut,3570549,1741688,1828861,41.1,39.4,42.7,9,3575074,1744245,1830829,41.0,39.2,42.7,3605597
Hawaii,1420074,712250,707824,39.4,37.9,41.0,15,1422094,713260,708834,39.1,37.6,40.6,1441553
Illinois,12716164,6247083,6469081,38.3,37.0,39.6,17,12770631,6272172,6498459,38.1,36.8,39.4,12671469
Massachusetts,6873003,3335992,3537011,39.6,38.0,40.9,25,6850553,3324207,3526346,39.5,37.9,40.9,6984723
Texas,28635442,14221720,14413722,34.8,33.9,35.8,48,28260856,14034009,14226847,34.6,33.7,35.6,29527941
Montana,1061705,534128,527577,40.1,39.0,41.1,30,1050649,528573,522076,39.9,38.8,40.9,1104271
Nebraska,1923826,959677,964149,36.6,35.7,37.6,31,1914571,954950,959621,36.5,35.5,37.5,1963692
Ohio,11675275,5721796,5953479,39.5,38.0,40.9,39,11655397,5711765,5943632,39.4,37.9,40.8,11780017
